N. Bakker,Nick Bakker,80
E. Akbaba,Emre Akbaba,80
J. Heaton,Josh Heaton,80
E. Lamela,Erik Lamela,80
E. Kılınç,Emre Kılınç,80
E. Krafth,Emil Krafth,80
J. Hart,Joe Hart,80
J. Ertlthaler,Julius Ertlthaler,80
K. Hansen,Kian Hansen,80
J. Larsen,Jens Larsen,80
E. Hazard,Eden Hazard,80
E. Grezda,Eros Grezda,80
Markel Areitio,Markel Areitio Cedrún,80
P. Sokołowski,Patryk Sokołowski,80
Michel Douglas,Michel Douglas Guedes,80
K. Bonifazi,Kevin Bonifazi,80
J. McCarthy,James McCarthy,80
K. Bucker,Koen Bucker,80
I. Akhmetov,Ilzat Akhmetov,80
F. Ballo-Touré,Fodé Ballo Touré,80
J. Svensson,Jonas Svensson,80
R. Halliche,Rafik Halliche,80
R. Hardie,Ryan Hardie,80
R. Inniss,Ryan Inniss,80
G. Taylor,Greg Taylor,80
J. Stones,John Stones,80
R. Bowman,Ryan Bowman,80
J. Łukowski,Jakub Łukowski,80
R. Boffin,Ruud Boffin,80
J. Řezníček,Jakub Řezníček,80
O. Colley,Omar Colley,80
J. Stanic,Jozo Stanic,80
I. Ordets,Ivan Ordets,80
J. Schouten,Jerdy Schouten,80
G. Kiltie,Greg Kiltie,80
G. Kamara,Glen Kamara,80
J. Roussillon,Jérôme Roussillon,80
O. Altman,Omri Altman,80
I. Wilson,Iain Wilson,80
O. John,Ola John,80
O. Kudryk,Oleh Kudryk,80
R. Dekker,Rick Dekker,80
J. Zimmer,Jean Zimmer,80
I. Belfodil,Ishak Belfodil,80
I. Boonen,Indy Boonen,80
J. Uronen,Jere Uronen,80
R. Ferguson,Rohan Ferguson,80
P. Ankersen,Peter Ankersen,80
H. Wright,Haji Wright,80
O. Stijepović,Ognjen Stijepović,80
H. Van Der Bruggen,Hannes Van der Bruggen,80
I. El Adoua,Issam El Adoua,80
P. Gladon,Paul Gladon,80
O. Ovacıklı,Orhan Ovacıklı,80
R. Fraser,Ryan Fraser,80
H. Harbaoui,Hamdi Harbaoui,80
H. Cochrane,Harry Cochrane,80
J. Wehrmann,Jordy Wehrmann,80
J. Wójcicki,Jakub Wójcicki,80
H. Ben Arfa,Hatem Ben Arfa,80
H. Ayaroğlu,Hasan Ayaroğlu,80
R. Fulton,Ryan Fulton,80
I. Fiolić,Ivan Fiolić,80
H. Lloris,Hugo Lloris,80
N. Lang,Noa Lang,80
O. Aina,Ola Aina,80
J. Puncheon,Jason Puncheon,80
F. Pisacane,Fabio Pisacane,80
J. Bataille,Jelle Bataille,80
N. Milenković,Nikola Milenković,80
R. Renner,Rene Renner,80
N. Maksimović,Novica Maksimović,80
F. Kadioglu,Ferdi Kadioglu,80
F. Jagiełło,Filip Jagiełło,80
F. Helander,Filip Helander,80
F. Heerkens,Freek Heerkens,80
P. Škuletić,Petar Škuletić,80
J. McGinn,John McGinn,80
J. Tverskov,Jeppe Tverskov,80
F. Dahmen,Finn Dahmen,80
F. Ceravolo,Fabio Ceravolo,80
F. Bradarić,Filip Bradarić,80
F. Benković,Filip Benković,80
F. Bednarek,Filip Bednarek,80
J. Blaswich,Janis Blaswich,80
N. Leemhuis,Niels Leemhuis,80
F. Piszczek,Filip Piszczek,80
F. Sporkslede,Fabian Sporkslede,80
J. Ankersen,Jakob Ankersen,80
R. Pietrzak,Rafal Pietrzak,80
O. Abildgaard,Oliver Abildgaard,80
G. Clichy,Gaël Clichy,80
Neymar Jr,Neymar,80
G. Cahill,Gary Cahill,80
R. Amalfitano,Romain Amalfitano,80
P. Hanlon,Paul Hanlon,80
N. Venema,Nick Venema,80
Pol García,Pol García Tena,80
N. Skubic,Nejc Skubic,80
I. Šunjić,Ivan Šunjić,80
Pere Milla,Pere Milla Peña,80
J. Murphy,Josh Murphy,80
N. Schulz,Nico Schulz,80
N. Okafor,Noah Okafor,80
R. Nicolaisen,Rasmus Nicolaisen,80
J. Andersen,Jonas Andersen,80
Pablo Santos,Marlon Santos,80
F. Wiedwald,Felix Wiedwald,80
F. Uduokhai,Felix Uduokhai,80
R. Petretta,Raoul Petretta,80
R. Mišlov,Roko Mišlov,80
G. Dicker,Gary Dicker,80
G. Tansey,Greg Tansey,80
M. Petržela,Milan Petržela,80
U. Çiftçi,Uğur Çiftçi,80
M. Muheim,Miro Muheim,80
V. Ibišević,Vedad Ibišević,80
V. Klonaridis,Viktor Klonaridis,80
Lucas Torró,Lucas Torreira,80
Adán,Adrián,80
Adrián Marín,Adrián Marín Gómez,80
Adrián Diéguez,Adrián Diéguez Grande,80
Vasco Fernandes,Lukas Fernandes,80
A. Čermák,Aleš Čermák,80
M. Mitrović,Matej Mitrović,80
M. Miazga,Matt Miazga,80
A. Younes,Amin Younes,80
W. Ben Yedder,Wissam Ben Yedder,80
W. Biedrzycki,Wiktor Biedrzycki,80
A. Witsel,Axel Witsel,80
W. Droste,Wout Droste,80
W. Hughes,Will Hughes,80
A. Tshibola,Aaron Tshibola,80
A. Timofeev,Artem Timofeev,80
W. Janssens,Wolke Janssens,80
M. Müldür,Mert Müldür,80
L. Ćirković,Lazar Ćirković,80
U. Ceylan,Ufuk Ceylan,80
M. Pavlović,Mateo Pavlović,80
T. Oude Kotte,Thomas Oude Kotte,80
L. Muriel,Luis Muriel,80
L. Perrin,Loïc Perrin,80
B. Prokopič,Boris Prokopič,80
B. Petković,Bruno Petković,80
B. Knežević,Bojan Knežević,80
L. Rigoni,Luca Rigoni,80
M. Putnocký,Matúš Putnocký,80
B. Enobakhare,Bright Enobakhare,80
B. Dost,Bas Dost,80
A. Shabanov,Artem Shabanov,80
B. Djimsiti,Berat Djimsiti,80
L. Suárez,Luis Suárez,80
L. Torreira,Lucas Torreira,80
T. Vollnhofer,Thomas Vollnhofer,80
M. Pouraliganji,Morteza Pouraliganji,80
M. Pietrowski,Marcin Pietrowski,80
T. Werner,Timo Werner,80
B. Anderson,Bruce Anderson,80
K. Mirallas,Kevin Mirallas,80
M. Petković,Marko Petković,80
Thiago Santana,Thiago Alcantara,80
L. Stindl,Lars Stindl,80
W. Norris,Will Norris,80
M. Amundsen,Malte Amundsen,80
W. Troost-Ekong,William Troost-Ekong,80
Y. Sommer,Yann Sommer,80
M. Fabián,Fabián,80
M. Frantz,Mike Frantz,80
A. Fejzullahu,Arbnor Fejzullahu,80
M. Lieder,Mart Lieder,80
A. El Ghazi,Anwar El Ghazi,80
M. Gabbiadini,Manolo Gabbiadini,80
Y. Valery,Yann Valery,80
M. Lešković,Marko Lešković,80
A. Disasi,Axel Disasi,80
A. Gordyushenko,Astemir Gordyushenko,80
A. Delort,Andy Delort,80
M. Larsen,Mads Larsen,80
A. Borysiuk,Ariel Borysiuk,80
A. Bodzek,Adam Bodzek,80
Z. Korcsmár,Zsolt Korcsmár,80
A. Bertolacci,Andrea Bertolacci,80
A. Benedyczak,Adrian Benedyczak,80
A. Benchaib,Amine Benchaib,80
A. Bayındır,Altay Bayındır,80
M. Kucharczyk,Michał Kucharczyk,80
M. Ingvartsen,Marcus Ingvartsen,80
A. Campbell,Allan Campbell,80
L. Modrić,Luka Modrić,80
A. Groeneveld,Arnaut Groeneveld,80
Y. Sanogo,Yaya Sanogo,80
Williams,Willian,80
X. Chavalerin,Xavier Chavalerin,80
A. Ngando,Axel Ngando,80
A. Ndom,Aly Ndom,80
M. Barrow,Musa Barrow,80
A. McGregor,Allan McGregor,80
A. Masina,Adam Masina,80
M. Bourabia,Mehdi Bourabia,80
M. Branderhorst,Mattijs Branderhorst,80
A. Ljajić,Adem Ljajić,80
A. Gürleyen,Ahmet Gürleyen,80
Y. Gourcuff,Yoann Gourcuff,80
M. De Sciglio,Mattia De Sciglio,80
A. Kanibolotskyi,Anton Kanibolotskiy,80
Y. Khacheridi,Yevhen Khacheridi,80
M. Djuricin,Marco Djuricin,80
A. Jansen,Anco Jansen,80
Y. Kurtuluş,Yekta Kurtuluş,80
Y. M'Vila,Yann M'Vila,80
A. Hruška,Aleš Hruška,80
A. Hoffmann,Andre Hoffmann,80
Y. Otubanjo,Yusuf Otubanjo,80
M. Lowe,Max Lowe,80
B. Verstraete,Birger Verstraete,80
J. Hušbauer,Josef Hušbauer,80
T. Mykhalyk,Taras Mykhalyk,80
D. Telgenkamp,Dennis Telgenkamp,80
D. Turnbull,David Turnbull,80
S. Mignolet,Simon Mignolet,80
D. Wright,Drey Wright,80
M. Verratti,Marco Verratti,80
D. Zappacosta,Davide Zappacosta,80
D. D'Ambrosio,Danilo D'Ambrosio,80
D. Craddock,David Craddock,80
D. Contento,Diego Contento,80
S. Robinson,Scott Robinson,80
D. Zurutuza,David Zurutuza,80
D. da Costa,David da Costa,80
D. Biseswar,Diego Biseswar,80
D. de Vries,Dorus de Vries,80
D. Ljubicic,Dejan Ljubicic,80
L. Andersen,Lucas Andersen,80
S. Serdar,Suat Serdar,80
S. Sinclair,Scott Sinclair,80
S. Tarashaj,Shani Tarashaj,80
S. Prevljak,Smail Prevljak,80
D. Foulon,Daam Foulon,80
J. Højbjerg,Jeppe Højbjerg,80
D. Sula,Din Sula,80
M. Yıldırım,Murat Yıldırım,80
D. Kownacki,Dawid Kownacki,80
K. Toko-Ekambi,Karl Toko Ekambi,80
K. Walker,Kyle Walker,80
