,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
5687,Soslan Dzhanaev,Miedź Legnica,Russia,630,0,1
5688,Ioannis Mystakidis,Górnik Zabrze,Greece,405,0,2
5689,Eduardo Alves da Silva,Legia Warszawa,Croatia,14,0,0
5690,Anton Kanibolotskiy,Miedź Legnica,Ukraine,1800,0,6
5691,Jakub Kosecki,Śląsk Wrocław,Poland,90,1,0
5692,Maciej Dąbrowski,Zagłębie Lubin,Poland,1767,0,4
5693,Jakub Czerwiński,Piast Gliwice,Poland,3240,3,16
5694,Miroslav Radović,Legia Warszawa,Serbia,171,0,2
5695,Marcin Ryszard Wasilewski,Wisła Kraków,Poland,2520,0,6
5696,Mateusz Wieteska,Legia Warszawa,Poland,2119,0,9
5697,Dušan Kuciak,Lechia Gdańsk,Slovakia,2520,0,16
5698,João Pedro Reis Amaral,Lech Poznań,Portugal,1763,8,7
5699,Pedro Miguel Amorim Pereira Silva,Lech Poznań,Portugal,2912,4,9
5700,Salvador José Milhazes Agra,Legia Warszawa,Portugal,160,0,1
5701,Iuri José Picanço Medeiros,Legia Warszawa,Portugal,646,3,4
5702,André Renato Soares Martins,Legia Warszawa,Portugal,1959,2,11
5703,Luís Augusto Martins Rocha,Legia Warszawa,Portugal,926,0,4
5704,Joan Ángel Román i Ollè,Miedź Legnica,Spain,828,5,1
5705,Maciej Makuszewski,Lech Poznań,Poland,2006,0,9
5706,Tomas Martins Podstawski,Pogoń Szczecin,Portugal,2655,1,8
5707,Steven de Sousa Vitoria,Lechia Gdańsk,Canada,736,1,5
5708,Aleksandar Miljković,Miedź Legnica,Serbia,1428,0,5
5709,Patryk Tuszyński,Zagłębie Lubin,Poland,2665,10,9
5710,Lasha Dvali,Pogoń Szczecin,Georgia,1125,1,4
5711,Ariel Borysiuk,Wisła Płock,Poland,942,2,3
5712,Piotr Malarczyk,Korona Kielce,Poland,847,0,2
5713,Michał Żyro,Pogoń Szczecin,Poland,279,1,2
5714,Radoslaw Majewski,Pogoń Szczecin,Poland,2731,8,10
5715,Tomasz Cywka,Lech Poznań,Poland,552,1,2
5716,Sergei Zenjov,Cracovia Kraków,Estonia,847,1,3
5717,Thomas Rogne,Lech Poznań,Norway,1968,1,7
5718,Piotr Parzyszek,Piast Gliwice,Poland,1752,9,15
5719,Vamara Sanogo,Zagłębie Sosnowiec,France,2132,11,3
5720,Callum Rzonca,Zagłębie Sosnowiec,England,99,0,1
5721,Christian Maghoma,Arka Gdynia,England,1350,0,4
5722,Iván Márquez Álvarez,Korona Kielce,Spain,2070,0,8
5723,Nikola Vujadinović,Lech Poznań,Bulgaria,1980,3,7
5724,Juan del Cármen Cámara Mesa,Miedź Legnica,Spain,2104,3,5
5725,Stefan Šćepović,Jagiellonia Białystok,Serbia,324,0,3
5726,Borja Fernández Fernández,Miedź Legnica,Spain,2253,0,7
5727,Bartlomiej Pawłowski,Zagłębie Lubin,Poland,2899,8,9
5728,Jonathan De Amo Pérez,Miedź Legnica,Spain,299,0,1
5729,Francisco de Paula Cruz Torres,Miedź Legnica,Spain,640,0,1
5730,Iker Guarrotxena Vallejo,Pogoń Szczecin,Spain,1356,5,6
5731,Ángel García Cabezali,Wisła Płock,Spain,1440,0,2
5732,Vullnet Basha,Wisła Kraków,Albania,2613,3,7
5733,Jesús Imaz Ballesté,Jagiellonia Białystok,Spain,2468,17,7
5734,Matej Pučko,Korona Kielce,Slovenia,1957,5,7
5735,Daniel Suárez García Osorio,Górnik Zabrze,Spain,2439,4,8
5736,Marcos García Barreno,Miedź Legnica,Spain,715,2,2
5737,Dionisio Emmanuel Villalba Rojano,Lech Poznań,Spain,150,0,1
5738,Spas Borislavov Delev,Pogoń Szczecin,Bulgaria,602,2,3
5739,Airam López Cabrera,Cracovia Kraków,Spain,2076,14,10
5740,Gerard Badía Cortés,Piast Gliwice,Spain,778,2,9
5741,Paweł Brożek,Wisła Kraków,Poland,466,2,2
5742,Mikkel Kirkeskov,Piast Gliwice,Denmark,3240,2,16
5743,Piotr Leciejewski,Zagłębie Lubin,Poland,20,0,0
5744,Zdenek Ondrášek,Wisła Kraków,Czech Republic,1606,11,4
5745,Jakub Serafin,Cracovia Kraków,Poland,270,0,3
5746,Igors Tarasovs,Śląsk Wrocław,Latvia,1303,1,5
5747,Wojciech Golla,Śląsk Wrocław,Poland,3150,1,9
5748,Marko Vejinovic,Arka Gdynia,Netherlands,1253,5,5
5749,Ognjen Gnjatić,Korona Kielce,Bosnia and Herzegovina,979,0,3
5750,Oskar Zawada,Wisła Płock,Poland,987,6,3
5751,Aleksandar Bjelica,Korona Kielce,Netherlands,202,0,0
5752,Alexander Domin Christovao M'Futila,Zagłębie Sosnowiec,Angola,959,2,1
5753,Junior Torunarigha,Zagłębie Sosnowiec,Nigeria,181,0,1
5754,Adrian Purzycki,Miedź Legnica,Poland,1037,0,5
5755,Thomas Dähne,Wisła Płock,Germany,2645,0,3
5756,Santeri Hostikka,Pogoń Szczecin,Finland,253,0,1
5757,Petteri Forsell,Miedź Legnica,Finland,2944,13,8
5758,William Rémy,Legia Warszawa,France,1380,2,7
5759,Chris Philipps,Legia Warszawa,Luxembourg,207,0,4
5760,Dominik Furman,Wisła Płock,Poland,3218,6,6
5761,Igor Łasicki,Wisła Płock,Poland,2235,1,5
5762,Alen Stevanović,Wisła Płock,Serbia,408,1,2
5763,Marko Vešović,Legia Warszawa,Montenegro,2209,0,12
5764,Lukáš Haraslín,Lechia Gdańsk,Slovakia,2330,4,15
5765,Rafał Wolski,Lechia Gdańsk,Poland,549,1,5
5766,Augusto Pereira Loureiro,Śląsk Wrocław,Portugal,1169,2,4
5767,Niko Datković,Cracovia Kraków,Croatia,1812,1,7
5768,Blazej Augustyn,Lechia Gdańsk,Poland,2656,2,16
5769,Cristian Pasquato,Legia Warszawa,Italy,86,0,4
5770,Michal Chrapek,Śląsk Wrocław,Poland,2218,3,9
5771,Antonini Čulina,Cracovia Kraków,Croatia,63,0,0
5772,Mateusz Lewandowski,Lechia Gdańsk,Poland,108,0,1
5773,Paweł Bochniewicz,Górnik Zabrze,Poland,2761,1,8
5774,Dimitrios Goutas,Lech Poznań,Greece,732,0,0
5775,Robert Pich,Śląsk Wrocław,Slovakia,2658,6,9
5776,Elia Soriano,Korona Kielce,Italy,2497,14,7
5777,Tomasz Hołota,Pogoń Szczecin,Poland,456,0,1
5778,Michal Mak,Lechia Gdańsk,Poland,893,2,10
5779,Daniel Lukasik,Lechia Gdańsk,Poland,2826,1,16
5780,Arvydas Novikovas,Jagiellonia Białystok,Lithuania,2562,8,6
5781,Zlatko Janjić,Korona Kielce,Germany,969,1,4
5782,David Niepsuj,Pogoń Szczecin,Germany,819,0,4
5783,Guilherme Haubert Sitya,Jagiellonia Białystok,Brazil,2808,2,8
5784,Michael Gardawski,Korona Kielce,Poland,2598,1,7
5785,Soufian Benyamina,Pogoń Szczecin,Germany,553,2,5
5786,Damian Gaska,Śląsk Wrocław,Poland,1319,0,7
5787,David Stec,Pogoń Szczecin,Austria,1875,0,7
5788,Martin Adamec,Jagiellonia Białystok,Slovakia,310,0,2
5789,Darko Jevtić,Lech Poznań,Switzerland,1569,3,5
5790,Gerard Oliva Gorgori,Cracovia Kraków,Spain,253,1,1
5791,Bartłomiej Żynel,Wisła Płock,Poland,584,0,3
5792,Jake McGing,Wisła Płock,Australia,1056,0,2
5793,Frederik Helstrup Jensen,Arka Gdynia,Denmark,2504,1,7
5794,Filip Starzyński,Zagłębie Lubin,Poland,2929,13,9
5795,Marko Poletanović,Jagiellonia Białystok,Serbia,1640,2,6
5796,Grzegorz Bartczak,Miedź Legnica,Poland,1955,0,7
5797,Łukasz Gargula,Miedź Legnica,Poland,274,0,1
5798,Damian Rasak,Wisła Płock,Poland,2418,0,6
5799,Mateusz Kuchta,Zagłębie Lubin,Poland,0,0,0
5800,Adam Danch,Arka Gdynia,Poland,1187,1,5
5801,Bartosz Kopacz,Zagłębie Lubin,Poland,2143,1,6
5802,Szymon Matuszek,Górnik Zabrze,Poland,1717,0,9
5803,Konrad Nowak,Górnik Zabrze,Poland,301,0,1
5804,Marcin Urynowicz,Górnik Zabrze,Poland,339,1,1
5805,Wiktor Biedrzycki,Górnik Zabrze,Poland,109,0,0
5806,Mateusz Machaj,Jagiellonia Białystok,Poland,484,0,3
5807,Karol Danielak,Arka Gdynia,Poland,69,0,1
5808,Alan Czerwiński,Zagłębie Lubin,Poland,930,0,2
5809,Jakub Bartkowski,Pogoń Szczecin,Poland,2550,1,7
5810,Rafał Augustyniak,Miedź Legnica,Poland,1727,2,4
5811,Mateusz Radecki,Śląsk Wrocław,Poland,1172,5,7
5812,Kamil Zapolnik,Górnik Zabrze,Poland,1603,2,8
5813,Aleksander Jagiełło,Piast Gliwice,Poland,605,0,3
5814,Maksymilian Banaszewski,Arka Gdynia,Poland,403,0,3
5815,Jakub Wrąbel,Śląsk Wrocław,Poland,180,0,0
5816,Adam Banasiak,Zagłębie Sosnowiec,Poland,911,0,1
5817,Mariusz Malec,Pogoń Szczecin,Poland,1870,1,4
5818,Adam Deja,Arka Gdynia,Poland,2133,2,6
5819,Daniel Mikolajewski,Lechia Gdańsk,Poland,0,0,0
5820,Karol Angielski,Wisła Płock,Poland,532,2,5
5821,Žarko Udovičić,Zagłębie Sosnowiec,Serbia,2652,9,4
5822,Tomasz Nowak,Zagłębie Sosnowiec,Poland,1115,0,1
5823,Martin Pribula,Zagłębie Sosnowiec,Slovakia,0,0,0
5824,Arkadiusz Jędrych,Zagłębie Sosnowiec,Poland,1324,0,2
5825,Konrad Wrzesiński,Zagłębie Sosnowiec,Poland,1754,3,2
5826,Robert Sulewski,Arka Gdynia,Poland,65,0,0
5827,Mateusz Cholewiak,Śląsk Wrocław,Poland,2126,4,7
5828,Jakub Żubrowski,Korona Kielce,Poland,2566,0,5
5829,Filip Piszczek,Cracovia Kraków,Poland,1095,6,9
5830,Adrian Danek,Cracovia Kraków,Poland,23,0,0
5831,Bartosz Kwiecień,Jagiellonia Białystok,Poland,1375,1,7
5832,Karol Szymanski,Lech Poznań,Poland,0,0,0
5833,Jakub Łukowski,Wisła Płock,Poland,696,2,1
5834,Lukas Klemenz,Wisła Kraków,Poland,1238,1,3
5835,Łukasz Kosakiewicz,Korona Kielce,Poland,1624,0,5
5836,Igor Angulo Albóniga,Górnik Zabrze,Spain,3114,24,9
5837,Łukasz Wolsztyński,Górnik Zabrze,Poland,914,1,7
5838,Adam Wolniewicz,Górnik Zabrze,Poland,441,0,1
5839,Maciej Ambrosiewicz,Górnik Zabrze,Poland,1181,0,4
5840,Michal Janota,Arka Gdynia,Poland,2766,10,7
5841,Mateusz Lis,Wisła Kraków,Poland,3059,0,6
5842,Łukasz Budziłek,Pogoń Szczecin,Poland,90,0,0
5843,Dawid Błanik,Pogoń Szczecin,Poland,154,0,3
5844,Frank Adu Kwame,Miedź Legnica,Ghana,490,0,1
5845,David Ryndak,Zagłębie Sosnowiec,Poland,318,0,1
5846,Dariusz Pawłowski,Górnik Zabrze,Poland,0,0,0
5847,Wojciech Łobodziński,Miedź Legnica,Poland,813,0,3
5848,Szymon Żurkowski,Górnik Zabrze,Poland,2686,3,7
5849,Tomasz Loska,Górnik Zabrze,Poland,1710,0,2
5850,Mateusz Wdowiak,Cracovia Kraków,Poland,2635,4,11
5851,Konrad Michalak,Lechia Gdańsk,Poland,1258,1,10
5852,Aleksandar Kolev,Arka Gdynia,Bulgaria,1423,1,6
5853,Krzysztof Drzazga,Wisła Kraków,Poland,1304,5,3
5854,Kamil Jóźwiak,Lech Poznań,Poland,2121,3,7
5855,Robert Gumny,Lech Poznań,Poland,1710,1,6
5856,Adam Ryczkowski,Górnik Zabrze,Poland,434,0,0
5857,Sebastian Milewski,Zagłębie Sosnowiec,Poland,1620,0,3
5858,Omar Santana Cabrera,Miedź Legnica,Spain,1864,1,5
5859,Rafał Wolsztyński,Górnik Zabrze,Poland,140,0,1
5860,Maciej Gostomski,Cracovia Kraków,Poland,990,0,2
5861,Lukasz Sapela,Miedź Legnica,Poland,900,0,1
5862,Piotr Wlazło,Jagiellonia Białystok,Poland,60,0,0
5863,Mateusz Szczepaniak,Miedź Legnica,Poland,1048,3,3
5864,Bartlomiej Sielewski,Wisła Płock,Poland,462,1,5
5865,Piotr Tomasik,Lech Poznań,Poland,861,0,5
5866,Marcus Vinicius da Silva de Oliveira,Arka Gdynia,Brazil,330,1,3
5867,Mateusz Szwoch,Wisła Płock,Poland,1093,1,3
5868,Dawid Sołdecki,Arka Gdynia,Poland,380,0,1
5869,Rafal Pietrzak,Wisła Kraków,Poland,3136,3,7
5870,Mateusz Mak,Piast Gliwice,Poland,943,1,7
5871,Krystian Stępniowski,Cracovia Kraków,Poland,0,0,0
5872,Cezary Stefańczyk,Wisła Płock,Poland,1556,0,3
5873,Damian Szymański,Wisła Płock,Poland,1751,2,3
5874,Tomasz Mokwa,Piast Gliwice,Poland,389,0,2
5875,Konrad Forenc,Zagłębie Lubin,Poland,1260,0,5
5876,Patrik Mráz,Zagłębie Sosnowiec,Slovakia,2068,1,2
5877,Maciej Gorski,Korona Kielce,Poland,652,2,2
5878,Mateusz Kryczka,Wisła Płock,Poland,0,0,0
5879,Marcin Warcholak,Wisła Płock,Poland,1082,0,1
5880,Arkadiusz Woźniak,Zagłębie Lubin,Poland,0,0,0
5881,Mateusz Cichocki,Zagłębie Sosnowiec,Poland,1848,0,2
5882,Bartosz Slisz,Zagłębie Lubin,Poland,1799,0,8
5883,Marcin Staniszewski,Arka Gdynia,Poland,0,0,0
5884,Karol Dybowski,Piast Gliwice,Poland,0,0,0
5885,Tobiasz Weinzettel,Wisła Kraków,Poland,0,0,0
5886,Patryk Sokołowski,Piast Gliwice,Poland,158,1,5
5887,Adrian Klimczak,Arka Gdynia,Poland,25,0,0
5888,Matko Perdijic,Zagłębie Sosnowiec,Croatia,97,0,0
5889,Maciej Pałaszewski,Śląsk Wrocław,Poland,754,0,2
5890,Fabian Piasecki,Miedź Legnica,Poland,1319,1,6
5891,Adam Wilk,Cracovia Kraków,Poland,0,0,0
5892,Krystian Miś,Wisła Płock,Poland,0,0,0
5893,Jakub Łabojko,Śląsk Wrocław,Poland,1390,1,8
5894,Jakub Arak,Lechia Gdańsk,Poland,568,1,15
5895,Jaroslaw Niezgoda,Legia Warszawa,Poland,132,0,0
5896,Adam Chrzanowski,Lechia Gdańsk,Poland,100,1,2
5897,Krzysztof Mączyński,Śląsk Wrocław,Poland,1553,1,6
5898,Jin Izumisawa,Pogoń Szczecin,Japan,27,1,0
5899,Lubamba Musonda,Śląsk Wrocław,Zambia,761,0,6
5900,Elton Monteiro Almada,Miedź Legnica,Portugal,274,0,0
5901,Daniel Dziwniel,Zagłębie Lubin,Poland,992,0,3
5902,Michal Peškovič,Cracovia Kraków,Slovakia,2340,0,10
5903,Felicio Anando Brown Forbes,Korona Kielce,Costa Rica,1261,3,5
5904,Janusz Gol,Cracovia Kraków,Poland,2667,0,11
5905,Artur Jędrzejczyk,Legia Warszawa,Poland,2776,3,12
5906,Timur Zhamaletdinov,Lech Poznań,Russia,187,1,2
5907,Serder Serderov,Cracovia Kraków,Russia,160,0,2
5908,Adam Kokoszka,Zagłębie Sosnowiec,Poland,307,0,1
5909,Damian Zbozień,Arka Gdynia,Poland,2901,5,8
5910,Piotr Polczak,Zagłębie Sosnowiec,Poland,2228,2,2
5911,Cornel Emilian Râpă,Cracovia Kraków,Romania,2747,1,11
5912,Damjan Bohar,Zagłębie Lubin,Slovenia,2610,10,9
5913,Jasmin Burić,Lech Poznań,Bosnia and Herzegovina,2349,0,8
5914,Szymon Pawłowski,Zagłębie Sosnowiec,Poland,2834,5,3
5915,Łukasz Trałka,Lech Poznań,Poland,2235,1,7
5916,Marcin Robak,Śląsk Wrocław,Poland,2788,18,9
5917,Semir Štilić,Wisła Płock,Bosnia and Herzegovina,367,0,1
5918,Mateusz Piątkowski,Miedź Legnica,Poland,549,1,5
5919,Giorgi Merebashvili,Wisła Płock,Georgia,1941,6,5
5920,Arkadiusz Piech,Śląsk Wrocław,Poland,1198,2,7
5921,Michal Sipľak,Cracovia Kraków,Slovakia,2549,1,11
5922,Cillian Sheridan,Jagiellonia Białystok,Republic of Ireland,641,3,1
5923,Carlos Miguel Tavares de Oliveira,Wisła Płock,Portugal,214,1,1
5924,Goran Cvijanović,Arka Gdynia,Slovenia,388,0,4
5925,Ken Kallaste,Korona Kielce,Estonia,660,1,2
5926,Matúš Putnocký,Lech Poznań,Slovakia,981,0,3
5927,Mihai Cosmin Răduţ,Lech Poznań,Romania,411,0,4
5928,Ivan Runje,Jagiellonia Białystok,Croatia,2644,3,8
5929,Grzegorz Sandomierski,Jagiellonia Białystok,Poland,821,0,4
5930,Martin Pospíšil,Jagiellonia Białystok,Czech Republic,2598,1,7
5931,Jarosław Fojut,Pogoń Szczecin,Poland,688,0,4
5932,Radosław Majecki,Legia Warszawa,Poland,1260,0,7
5933,Artur Balicki,Wisła Kraków,Poland,3,0,0
5934,Dawid Kudła,Zagłębie Sosnowiec,Poland,2151,0,2
5935,Tomasz Nawotka,Zagłębie Sosnowiec,Poland,1118,1,2
5936,Michael Olczyk,Arka Gdynia,Poland,318,0,1
5937,Nuno Jorge Nobre Barbosa Malheiro,Zagłębie Sosnowiec,Portugal,270,0,1
5938,Patryk Szysz,Zagłębie Lubin,Poland,102,1,3
5939,Tomislav Božić,Miedź Legnica,Croatia,1598,0,4
5940,Paweł Zieliński,Miedź Legnica,Poland,2372,3,6
5941,Paweł Tomczyk,Piast Gliwice,Poland,290,4,6
5942,Patryk Klimala,Jagiellonia Białystok,Poland,642,1,5
5943,Tomasz Makowski,Lechia Gdańsk,Poland,1606,0,12
5944,Kornel Osyra,Miedź Legnica,Poland,1794,0,5
5945,Mateusz Hołownia,Śląsk Wrocław,Poland,914,0,4
5946,Oktawian Skrzecz,Korona Kielce,Poland,227,0,0
5947,Giacomo Mello Corbellini,Zagłębie Sosnowiec,Brazil,85,0,0
5948,Daniel Szczepan,Śląsk Wrocław,Poland,86,0,3
5949,Giorgos Migas,Zagłębie Sosnowiec,Greece,1262,2,1
5950,Bartłomiej Babiarz,Zagłębie Sosnowiec,Poland,737,0,2
5951,César Nicolás Varela Batista,Wisła Płock,Uruguay,1696,1,3
5952,Damian Byrtek,Piast Gliwice,Poland,0,0,0
5953,Tadeusz Socha,Arka Gdynia,Poland,526,0,3
5954,Michał Nalepa,Arka Gdynia,Poland,2372,2,8
5955,Rafal Siemaszko,Arka Gdynia,Poland,870,2,6
5956,Kamil Drygas,Pogoń Szczecin,Poland,3027,10,10
5957,Dominik Hładun,Zagłębie Lubin,Poland,2047,0,4
5958,Dawid Kort,Wisła Kraków,Poland,1491,3,4
5959,Łukasz Moneta,Zagłębie Lubin,Poland,4,0,1
5960,Patryk Stępiński,Wisła Płock,Poland,867,0,4
5961,Ľubomír Guldan,Zagłębie Lubin,Slovakia,3016,1,9
5962,Đorđe Čotra,Śląsk Wrocław,Serbia,1219,1,6
5963,Jarosław Kubicki,Lechia Gdańsk,Poland,3104,4,17
5964,Michal Papadopulos,Piast Gliwice,Czech Republic,1539,5,13
5965,Lukasz Janoszka,Zagłębie Lubin,Poland,426,1,1
5966,Filip Jagiełło,Zagłębie Lubin,Poland,2589,3,7
5967,Paweł Stolarski,Legia Warszawa,Poland,1213,1,8
5968,Jakub Tosik,Zagłębie Lubin,Poland,1370,0,6
5969,Matej Palčič,Wisła Kraków,Slovenia,844,2,1
5970,Sebastian Szymański,Legia Warszawa,Poland,2717,2,14
5971,Flávio Emanuel Lopes Paixão,Lechia Gdańsk,Portugal,3121,15,18
5972,Mateusz Matras,Górnik Zabrze,Poland,1572,3,8
5973,Grzegorz Kuświk,Wisła Płock,Poland,632,3,2
5974,Karol Fila,Lechia Gdańsk,Poland,1619,1,13
5975,Ricardo Nuno dos Santos Nunes,Pogoń Szczecin,South Africa,1636,0,3
5976,Sebastian Rudol,Pogoń Szczecin,Poland,328,0,3
5977,Marcin Listkowski,Pogoń Szczecin,Poland,42,0,0
5978,Maciej Sadlok,Wisła Kraków,Poland,2422,0,6
5979,Rafal Boguski,Wisła Kraków,Poland,1979,2,5
5980,Patryk Adrian Małecki,Wisła Kraków,Poland,303,0,2
5981,Carlos Daniel López Huesca,Legia Warszawa,Spain,2620,16,13
5982,Sebastian Kowalczyk,Pogoń Szczecin,Poland,1596,2,8
5983,Sebastian Walukiewicz,Pogoń Szczecin,Poland,2548,1,9
5984,Hubert Matynia,Pogoń Szczecin,Poland,2071,0,9
5985,Jakub Bartosz,Wisła Kraków,Poland,114,0,0
5986,Zoran Arsenić,Jagiellonia Białystok,Croatia,1998,0,7
5987,Tibor Halilović,Wisła Kraków,Croatia,457,0,3
5988,Michal Buchalik,Wisła Kraków,Poland,268,0,1
5989,Michal Helik,Cracovia Kraków,Poland,2532,0,10
5990,Kamil Pestka,Cracovia Kraków,Poland,227,0,0
5991,Miroslav Čovilo,Cracovia Kraków,Bosnia and Herzegovina,90,0,0
5992,Milan Dimun,Cracovia Kraków,Slovakia,2087,1,9
5993,Jakub Szmatula,Piast Gliwice,Poland,1080,0,4
5994,Aleksandar Sedlar,Piast Gliwice,Serbia,2700,6,13
5995,Martin Konczkowski,Piast Gliwice,Poland,2536,0,16
5996,Marcin Pietrowski,Piast Gliwice,Poland,1948,1,11
5997,Maciej Jankowski,Arka Gdynia,Poland,2578,10,8
5998,Patryk Dziczek,Piast Gliwice,Poland,2815,3,15
5999,Denis Gojko,Piast Gliwice,Poland,116,0,3
6000,Uroš Korun,Piast Gliwice,Slovenia,810,0,3
6001,Michał Koj,Górnik Zabrze,Poland,1105,0,2
6002,Pāvels Šteinbors,Arka Gdynia,Latvia,3330,0,9
6003,Adam Marciniak,Arka Gdynia,Poland,2978,1,9
6004,Mariusz Pawelec,Śląsk Wrocław,Poland,876,0,2
6005,Piotr Celeban,Śląsk Wrocław,Poland,2691,3,9
6006,Daniel Luczak,Śląsk Wrocław,Poland,111,0,0
6007,Jakub Slowik,Śląsk Wrocław,Poland,3150,0,10
6008,Marijan Kelemen,Jagiellonia Białystok,Slovakia,2509,0,6
6009,Taras Romanchuk,Jagiellonia Białystok,Ukraine,2905,1,9
6010,Łukasz Burliga,Wisła Kraków,Poland,1477,3,4
6011,Volodymyr Kostevych,Lech Poznań,Ukraine,2168,1,7
6012,Maciej Gajos,Lech Poznań,Poland,1429,2,6
6013,Rafal Janicki,Lech Poznań,Poland,1916,0,6
6014,Batosz Rymaniak,Korona Kielce,Poland,2705,0,7
6015,Adnan Kovačević,Korona Kielce,Bosnia and Herzegovina,2526,2,7
6016,Mateusz Możdżeń,Zagłębie Sosnowiec,Poland,1906,4,6
6017,Nabil Aankour,Arka Gdynia,Morocco,1351,2,6
6018,Ivan Jukić,Korona Kielce,Croatia,1304,3,3
6019,Martin Košťál,Jagiellonia Białystok,Slovakia,2031,2,9
6020,Adam Fraczczak,Pogoń Szczecin,Poland,641,1,2
6021,João Aniceto Grandela Nunes,Lechia Gdańsk,Portugal,1614,0,12
6022,Oleksiy Dityatjev,Cracovia Kraków,Ukraine,2250,1,10
6023,Marcin Cebula,Korona Kielce,Poland,1161,3,6
6024,El Hadji Pape Djibril Diaw,Korona Kielce,Senegal,1636,2,4
6025,Rafał Grzyb,Jagiellonia Białystok,Poland,167,0,3
6026,Karol Świderski,Jagiellonia Białystok,Poland,1018,8,3
6027,Adam Buksa,Pogoń Szczecin,Poland,1825,11,7
6028,Adam Dźwigała,Wisła Płock,Poland,1655,0,3
6029,Jakub Wójcicki,Jagiellonia Białystok,Poland,1435,1,8
6030,Saša Balić,Zagłębie Lubin,Montenegro,2446,1,8
6031,Vernon De Marco Morlacchi,Lech Poznań,Spain,1103,0,6
6032,José Kanté Martínez,Legia Warszawa,Guinea,542,2,6
6033,Kacper Chorazka,Wisła Kraków,Poland,0,0,0
6034,Patryk Lipski,Lechia Gdańsk,Poland,1648,5,6
6035,Francisco Javier Hernández González,Cracovia Kraków,Spain,2501,10,10
6036,César Joel Valencia Castillo,Piast Gliwice,Ecuador,2850,6,16
6037,Przemysław Frankowski,Jagiellonia Białystok,Poland,1207,3,2
6038,Sylwester Lusiusz,Cracovia Kraków,Poland,0,0,0
6039,Mateusz Żyro,Miedź Legnica,Poland,448,0,2
6040,Alan Uryga,Wisła Płock,Poland,3150,3,5
6041,Damian Dąbrowski,Cracovia Kraków,Poland,1660,0,9
6042,Marcin Budziński,Cracovia Kraków,Poland,888,0,3
6043,Kamil Dankowski,Śląsk Wrocław,Poland,905,0,1
6044,Michal Miskiewicz,Korona Kielce,Poland,720,0,2
6045,Pawel Żyra,Zagłębie Lubin,Poland,61,0,0
6046,Justinas Marazas,Wisła Płock,Lithuania,401,0,0
6047,Diego Gustavo Ferraresso Scheda,Cracovia Kraków,Bulgaria,1609,0,9
6048,Radosław Kanach,Cracovia Kraków,Poland,20,0,0
6049,Marcin Wasielewski,Lech Poznań,Poland,1099,1,3
6050,Luka Zarandia,Arka Gdynia,Georgia,2064,5,5
6051,Tymoteusz Puchacz,Zagłębie Sosnowiec,Poland,180,0,0
6052,Kacper Laskoś,Wisła Kraków,Poland,0,0,0
6053,Patryk Mucha,Zagłębie Lubin,Poland,0,0,0
6054,Damian Oko,Zagłębie Lubin,Poland,1418,0,5
6055,Wojciech Slomka,Wisła Kraków,Poland,79,0,0
6056,Luka Marić,Arka Gdynia,Croatia,2025,0,5
6057,Nemanja Mitrovič,Jagiellonia Białystok,Slovenia,2700,1,6
6058,Vladislav Sirotov,Zagłębie Lubin,Russia,200,0,1
6059,Riccardo Grym,Wisła Płock,Poland,0,0,0
6060,Andriy Eugenovych Bogdanov,Arka Gdynia,Ukraine,479,0,2
6061,Božo Musa,Miedź Legnica,Croatia,1004,1,1
6062,Marko Kolar,Wisła Kraków,Croatia,1797,12,4
6063,Zvonimir Kožulj,Pogoń Szczecin,Bosnia and Herzegovina,2693,9,9
6064,Mile Savković,Jagiellonia Białystok,Serbia,294,1,1
6065,Bojan Čečarić,Cracovia Kraków,Serbia,242,0,2
6066,Vukan Savićević,Wisła Kraków,Montenegro,997,2,2
6067,Dejan Vokič,Zagłębie Sosnowiec,Slovakia,513,0,2
6068,Boris Sekulić,Górnik Zabrze,Serbia,1170,2,5
6069,Lukáš Greššák,Zagłębie Sosnowiec,Slovakia,827,0,1
6070,Martin Tóth,Zagłębie Sosnowiec,Slovakia,832,0,1
6071,Andrej Kadlec,Jagiellonia Białystok,Slovakia,681,1,3
6072,František Plach,Piast Gliwice,Slovakia,2250,0,12
6073,Martin Chudý,Górnik Zabrze,Slovakia,1530,0,7
6074,Lukáš Hroššo,Zagłębie Sosnowiec,Slovakia,1080,0,2
6075,Jakub Mareš,Zagłębie Lubin,Czech Republic,560,2,6
6076,Karsten Ayong,Piast Gliwice,Czech Republic,10,0,0
6077,Ishmael Baidoo,Górnik Zabrze,Ghana,215,0,0
6078,Pawel Sokol,Korona Kielce,Poland,180,0,1
6079,Jorge Félix Muñoz García,Piast Gliwice,Spain,2561,6,15
6080,Jesús Jiménez Núñez,Górnik Zabrze,Spain,2947,5,9
6081,Eladio Zorrilla Jiménez,Cracovia Kraków,Spain,90,0,1
6082,Giorgi Gabedava,Zagłębie Sosnowiec,Georgia,679,3,2
6083,Giorgi Ivanishvili,Zagłębie Sosnowiec,Georgia,311,0,2
6084,Sergiu Cătălin Hanca,Cracovia Kraków,Romania,1177,2,5
6085,Pawel Kucharczyk,Śląsk Wrocław,Poland,90,0,0
6086,Sebastian Strozik,Cracovia Kraków,Poland,558,1,8
6087,Mateusz Żukowski,Lechia Gdańsk,Poland,174,0,2
