,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
238,Stefan Meusburger,Wacker Innsbruck,Austria,1121,1,3
239,Manuel Haas,St. Pölten,Austria,2034,0,10
240,Dominik Frieser,LASK Linz,Austria,1230,6,14
241,Florian Flecker,Hartberg,Austria,2654,7,2
242,João Victor Santos Sa,LASK Linz,Brazil,2286,13,10
243,Manfred Fischer,Rheindorf Altach,Austria,2201,7,5
244,Christopher Knett,Wacker Innsbruck,Austria,2656,0,6
245,Felix Luckeneder,Rheindorf Altach,Austria,1247,1,1
246,Maximilian Ullmann,LASK Linz,Austria,2836,4,14
247,Peter Michorl,LASK Linz,Austria,2680,3,14
248,Rajko Rep,Hartberg,Slovenia,2662,8,2
249,İlkay Durmuş,Wacker Innsbruck,Turkey,1056,1,1
250,Gideon Mensah,Sturm Graz,Ghana,1228,0,3
251,Daniel Geissler,Hartberg,Austria,0,0,0
252,Carlos Miguel Coronel,Salzburg,Brazil,0,0,0
253,Lukas Wedl,Wacker Innsbruck,Austria,0,0,0
254,Ivan Ljubic,Sturm Graz,Austria,2838,1,6
255,Nicolas Meister,LASK Linz,Austria,0,0,0
256,Philipp Wiesinger,LASK Linz,Austria,2482,3,13
257,Christopher Cvetko,LASK Linz,Austria,0,0,0
258,Patson Daka,Salzburg,Zambia,786,3,3
259,Raphael Gallé,Wacker Innsbruck,Austria,0,0,0
260,Florian Rieder,Wacker Innsbruck,Austria,41,0,1
261,Lukas Hupfauf,Wacker Innsbruck,Austria,1344,0,6
262,Manfred Gollner,Wolfsberger AC,Austria,1752,1,7
263,Dario Tadic,Hartberg,Austria,1725,7,2
264,Siegfried Rasswalder,Hartberg,Austria,2277,1,2
265,Thomas Rotter,Hartberg,Austria,1265,2,2
266,Roko Mišlov,St. Pölten,Croatia,2384,0,10
267,Florian Faist,Hartberg,Austria,270,0,0
268,Christian Ilic,Hartberg,Croatia,641,2,1
269,Aliou Badji,Rapid Wien,Senegal,961,6,7
270,Marin Jakoliš,Admira,Croatia,1068,1,4
271,Kwang-Ryong Pak,St. Pölten,North Korea,1771,4,10
272,Sherko Kareem Lateef Gubari,Rheindorf Altach,Iraq,298,0,2
273,Jeremy Bruno Guillemenot,Rapid Wien,Switzerland,72,0,2
274,Brian Henning,Wacker Innsbruck,Germany,2019,0,5
275,Sasa Kalajdzic,Admira,Austria,882,8,1
276,Patrick Puchegger,St. Pölten,Austria,90,0,0
277,Michael John Lema,Sturm Graz,Tanzania,865,3,4
278,Joshua Steiger,Wolfsberger AC,Austria,49,0,1
279,Amar Hodzic,Wolfsberger AC,Austria,56,0,0
280,Dejan Ljubicic,Rapid Wien,Austria,1781,1,11
281,Pascal Petlach,Admira,Austria,281,0,0
282,Bojan Avramovic,Wolfsberger AC,Serbia,0,0,0
283,Stefan Gölles,Wolfsberger AC,Austria,101,1,1
284,Jürgen Heil,Hartberg,Austria,517,0,0
285,Philipp Siegl,Hartberg,Austria,2250,1,2
286,Dominik Szoboszlai,Salzburg,Hungary,718,3,6
