Alexandr Golovin,Aleksandr Golovin,91
Alexandr Lomovitskiy,Aleksandr Lomovitski,90
Alexandr Selikhov,Aleksandr Selikhov,91
Alexandre De Bruyn,Alexandre De Bruyn,100
Alexandre Dimitri Song-Billong,Alexandre Dimitri Song-Billong,100
Alexandre Henrique Gonçalves De Freitas,Alexandre Henrique Gonçalves De Freitas,100
Alexandre Lacazette,Alexandre Lacazette,100
Alexandre Mendy,Alexandre Mendy,100
Alexandre Olliero,Alexandre Olliero,100
Alexandros  Paschalakis,Alexandros Paschalakis,98
Alexandros Gogić,Alexandros Gogic,94
Alexandros Katranis,Alexandros Katranis,100
Alexandru Epureanu,Alexandru Epureanu,100
Alexandru Mihăiță Chipciu,Alexandru Mihăiță Chipciu,100
Alexei Coşelev,Alexei Koşelev,93
Alexis Blin,Alexis Blin,100
Alexis De Sart,Alexis De Sart,100
Alexis Gamboa,Alexis Gamboa,100
Alexis Saelemaekers,Alexis Saelemaekers,100
Aleš Hruška,Aleš Hruška,100
Aleš Čermák,Aleš Čermák,100
Alfa Semedo Esteves,Alfa Semedo Esteves,100
Alfie Jones,Alfie Jones,100
Alfons Amade,Alfons Amade,100
Alfredo Kulembe Ribeiro,Alfredo Kulembe Ribeiro,100
Alfredo Morales,Alfredo Morales,100
Alfreð Finnbogason,Alfreð Finnbogason,100
Alhassan Wakaso,Alhassan Wakaso,100
Alhassane Keita,Alhassane Keita,100
Ali Gholizadeh,Ali Gholizadeh,100
Ali Koiki,Ali Koiki,100
Ali Messaoud,Ali Messaoud,100
Ali Turan,Ali Turan,100
Ali Çamdalı,Ali Çamdalı,100
Ali Şaşal Vural,Ali Şaşal Vural,100
Alihan Kubalas,Alihan Kubalas,100
Alin Toşca,Alin Toșca,90
Aliou Badji,Aliou Badji,100
Alioune Camara,Alioune Camara,100
Alireza Jahanbakhsh,Alireza Jahanbakhsh,100
Alistair McCann,Alistair McCann,100
Allan Arigoni,Allan Arigoni,100
Allan Campbell,Allan Campbell,100
Allan McGregor,Allan McGregor,100
Allan Nyom,Allan Nyom,100
Allan Rodrigues de Souza,Allan Rodrigues de Souza,100
Allan Saint-Maximin,Allan Saint-Maximin,100
Allef de Andrade Rodrigues,Allef de Andrade Rodrigues,100
Almamy Touré,Almamy Touré,100
Alois Höller,Alois Höller,100
Alon Turgeman,Alon Turgeman,100
Aloísio Soares Neto,Aloísio Soares Neto,100
Alparslan Erdem,Alparslan Erdem,100
Alpaslan Öztürk,Alpaslan Öztürk,100
Alpay Çelebi,Alpay Çelebi,100
Alper Potuk,Alper Potuk,100
Alphonse Areola,Alphonse Areola,100
Altay Bayındır,Altay Bayındır,100
Aluísio Chaves Ribeiro Moraes Júnior,Aluísio Chaves Ribeiro Moraes Júnior,100
Aly Cissokho,Aly Cissokho,100
Aly Ndom,Aly Ndom,100
Amadou Ciss,Amadou Ciss,100
Amadou Diawara,Amadou Diawara,100
Amadou Haidara,Amadou Haidara,100
Amara Baby,Amara Baby,100
Amato Ciciretti,Amato Ciciretti,100
Ambroise Oyongo Bitolo,Ambroise Oyongo Bitolo,100
Amer Gojak,Amer Gojak,100
Amilton Minervino da Silva,Amilton Minervino da Silva,100
Amin Nouri,Amin Nouri,100
Amin Younes,Amin Younes,100
Amine Benchaib,Amine Benchaib,100
Amine Harit,Amine Harit,100
Aminu Umar,Aminu Umar,100
Amir Abedzadeh,Amir Abedzadeh,100
Amir Abrashi,Amir Abrashi,100
Amir Absalem,Amir Absalem,100
Amir Adouyev,Amir Adouyev,100
Amir Hadžiahmetović,Amir Hadžiahmetović,100
Amir Rrahmani,Amir Rrahmani,100
Anastasios Avlonitis,Anastasios Avlonitis,100
Anastasios Bakasetas,Anastasios Bakasetas,100
Anastasios Chatzigiovanis,Anastasios Chatzigiovannis,98
Anco Jansen,Anco Jansen,100
Ander Guevara Lajo,Ander Guevara Lajo,100
Ander Iturraspe Derteano,Ander Iturraspe Derteano,100
Anders Dreyer,Anders Dreyer,100
Anders Egholm,Anders Egholm,100
Anders K. Jacobsen,Anders K. Jacobsen,100
Anderson Esiti,Anderson Esiti,100
Anderson López,Anderson Lopez,93
Andoni Zubiaurre Dorronsoro,Andoni Zubiaurre Dorronsoro,100
Andre Gray,Andre Gray,100
Andrea Barzagli,Andrea Barzagli,100
Andrea Belotti,Andrea Belotti,100
Andrea Bertolacci,Andrea Bertolacci,100
Andrea Consigli,Andrea Consigli,100
Andrea Conti,Andrea Conti,100
Andrea Favilli,Andrea Favilli,100
Andrea Masiello,Andrea Masiello,100
Andrea Petagna,Andrea Petagna,100
Andrea Poli,Andrea Poli,100
Andrea Raggi,Andrea Raggi,100
Andrea Ranocchia,Andrea Ranocchia,100
Andreas Bjelland,Andreas Bjelland,100
Andreas Bouchalakis,Andreas Bouchalakis,100
Andreas Bruhn Christensen,Andreas Bruhn Christensen,100
Andreas Christensen,Andreas Christensen,100
Andreas Gianniotis,Andreas Gianniotis,100
Andreas Gruber,Andreas Gruber,100
Andreas Kaltoft,Andreas Kaltoft,100
Andreas Leitner,Andreas Leitner,100
Andreas Lienhart,Andreas Lienhart,100
Andreas Linde,Andreas Leitner,86
Andreas Lukse,Andreas Lukse,100
Andreas Luthe,Andreas Luthe,100
Andreas Maxsø,Andreas Maxsø,100
Andreas Poulsen,Andreas Poulsen,100
Andreas Samaris,Andreas Samaris,100
Andreas Skov Olsen,Andreas Skov Olsen,100
Andreas Skovgaard,Andreas Skovgaard,100
Andreas Wittwer,Andreas Wittwer,100
